step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss,method,beta,seed,label
1000,0.187,0.187,0.4411764705882353,30,100,99,,,,,,,0.0024639833718538,,dqn,0.0,0,DQN
2000,0.149,0.168,0.5147058823529411,35,130,128,,,,,,,0.0008479285137145,,dqn,0.0,0,DQN
3000,0.08,0.1386666666666666,0.8382352941176471,57,215,207,,,,,,,0.000101050587722,,dqn,0.0,0,DQN
4000,0.192,0.152,0.8382352941176471,57,215,207,,,,,,,4.5570170582323046e-05,,dqn,0.0,0,DQN
5000,0.151,0.1518,0.8823529411764706,60,230,222,,,,,,,2.2469898349754657e-05,,dqn,0.0,0,DQN
6000,0.147,0.151,0.8823529411764706,60,231,223,,,,,,,1.6767012997888743e-05,,dqn,0.0,0,DQN
7000,0.097,0.1432857142857143,0.8823529411764706,60,231,223,,,,,,,1.84758710040569e-05,,dqn,0.0,0,DQN
8000,0.112,0.139375,0.8823529411764706,60,232,224,,,,,,,3.882196087965895e-05,,dqn,0.0,0,DQN
9000,0.128,0.1381111111111111,0.8823529411764706,60,232,224,,,,,,,3.3004513429204965e-05,,dqn,0.0,0,DQN
10000,0.114,0.1357,0.8823529411764706,60,232,224,,,,,,,2.866608789577185e-05,,dqn,0.0,0,DQN
11000,0.078,0.1304545454545454,0.8823529411764706,60,232,224,,,,,,,2.51900442766555e-05,,dqn,0.0,0,DQN
12000,0.083,0.1265,0.9411764705882352,64,243,233,,,,,,,4.1704298148943054e-05,,dqn,0.0,0,DQN
13000,0.111,0.1253076923076923,0.9411764705882352,64,243,233,,,,,,,7.2897365724657e-05,,dqn,0.0,0,DQN
14000,0.085,0.1224285714285714,0.9411764705882352,64,243,233,,,,,,,8.567776618019707e-05,,dqn,0.0,0,DQN
15000,0.072,0.1190666666666666,0.9558823529411764,65,250,239,,,,,,,0.0001064105542673,,dqn,0.0,0,DQN
16000,0.091,0.1173125,0.9705882352941176,66,254,243,,,,,,,0.0001578334447058,,dqn,0.0,0,DQN
17000,0.027,0.112,0.9852941176470588,67,259,248,,,,,,,0.0001895341297549,,dqn,0.0,0,DQN
18000,0.053,0.1087222222222222,1.0,68,265,254,,,,,,,0.0002542300276963,,dqn,0.0,0,DQN
19000,0.054,0.1058421052631578,1.0,68,266,255,,,,,,,0.0003290304111833,,dqn,0.0,0,DQN
20000,0.047,0.1029,1.0,68,270,258,,,,,,,0.0003561256382636,,dqn,0.0,0,DQN
21000,0.06,0.1008571428571428,1.0,68,270,258,,,,,,,0.0004317292130526,,dqn,0.0,0,DQN
22000,0.028,0.0975454545454545,1.0,68,270,258,,,,,,,0.0004862498413458,,dqn,0.0,0,DQN
23000,0.047,0.0953478260869565,1.0,68,270,258,,,,,,,0.0004332751107649,,dqn,0.0,0,DQN
24000,0.147,0.0975,1.0,68,271,259,,,,,,,0.000461220539415,,dqn,0.0,0,DQN
25000,0.017,0.09428,1.0,68,271,259,,,,,,,0.0003949389858062,,dqn,0.0,0,DQN
26000,0.035,0.092,1.0,68,271,259,,,,,,,0.0004375267676732,,dqn,0.0,0,DQN
27000,0.047,0.0903333333333333,1.0,68,271,259,,,,,,,0.0002783238337633,,dqn,0.0,0,DQN
28000,0.022,0.0878928571428571,1.0,68,271,259,,,,,,,0.0002432355591099,,dqn,0.0,0,DQN
29000,0.047,0.0864827586206896,1.0,68,271,259,,,,,,,0.0001755425815726,,dqn,0.0,0,DQN
30000,0.047,0.0851666666666666,1.0,68,271,259,,,,,,,0.0001505850384019,,dqn,0.0,0,DQN
31000,0.02,0.0830645161290322,1.0,68,271,259,,,,,,,0.0001392762008435,,dqn,0.0,0,DQN
32000,0.097,0.0835,1.0,68,271,259,,,,,,,0.0001112483099113,,dqn,0.0,0,DQN
33000,0.022,0.0816363636363636,1.0,68,271,259,,,,,,,0.0001051194110796,,dqn,0.0,0,DQN
34000,0.025,0.0799705882352941,1.0,68,271,259,,,,,,,7.889228139129045e-05,,dqn,0.0,0,DQN
35000,0.01,0.0779714285714285,1.0,68,271,259,,,,,,,7.506691088929074e-05,,dqn,0.0,0,DQN
36000,0.028,0.0765833333333333,1.0,68,271,259,,,,,,,6.862525330825519e-05,,dqn,0.0,0,DQN
37000,0.02,0.075054054054054,1.0,68,271,259,,,,,,,5.892181062108648e-05,,dqn,0.0,0,DQN
38000,0.01,0.0733421052631578,1.0,68,271,259,,,,,,,5.307086307993814e-05,,dqn,0.0,0,DQN
39000,0.033,0.0723076923076923,1.0,68,271,259,,,,,,,5.186769047122652e-05,,dqn,0.0,0,DQN
40000,0.033,0.071325,1.0,68,271,259,,,,,,,4.9545523085839706e-05,,dqn,0.0,0,DQN
41000,0.052,0.0708536585365853,1.0,68,271,259,,,,,,,5.183441346071049e-05,,dqn,0.0,0,DQN
42000,0.046,0.0702619047619047,1.0,68,271,259,,,,,,,4.6590528046408505e-05,,dqn,0.0,0,DQN
43000,0.012,0.068906976744186,1.0,68,271,259,,,,,,,5.624260655122271e-05,,dqn,0.0,0,DQN
44000,0.016,0.0677045454545454,1.0,68,271,259,,,,,,,5.972376003182944e-05,,dqn,0.0,0,DQN
45000,0.016,0.0665555555555555,1.0,68,271,259,,,,,,,5.034044819126393e-05,,dqn,0.0,0,DQN
46000,0.026,0.0656739130434782,1.0,68,271,259,,,,,,,3.981116469799417e-05,,dqn,0.0,0,DQN
47000,0.119,0.0668085106382978,1.0,68,271,259,,,,,,,4.249783304203447e-05,,dqn,0.0,0,DQN
48000,0.021,0.0658541666666666,1.0,68,271,259,,,,,,,4.403740178895532e-05,,dqn,0.0,0,DQN
49000,0.012,0.0647551020408163,1.0,68,271,259,,,,,,,4.0097158829325965e-05,,dqn,0.0,0,DQN
50000,0.032,0.0641,1.0,68,271,259,,,,,,,5.576670519440085e-05,,dqn,0.0,0,DQN
51000,0.017,0.0631764705882352,1.0,68,271,259,,,,,,,3.791778843174143e-05,,dqn,0.0,0,DQN
52000,0.005,0.0620576923076923,1.0,68,271,259,,,,,,,4.4959272963637886e-05,,dqn,0.0,0,DQN
53000,0.094,0.0626603773584905,1.0,68,271,259,,,,,,,3.832042724002349e-05,,dqn,0.0,0,DQN
54000,0.005,0.0615925925925925,1.0,68,271,259,,,,,,,3.965403233678444e-05,,dqn,0.0,0,DQN
55000,0.012,0.060690909090909,1.0,68,271,259,,,,,,,4.8151430544749016e-05,,dqn,0.0,0,DQN
56000,0.237,0.0638392857142857,1.0,68,271,259,,,,,,,4.253656854484688e-05,,dqn,0.0,0,DQN
57000,0.158,0.0654912280701754,1.0,68,271,259,,,,,,,4.737177738218179e-05,,dqn,0.0,0,DQN
58000,0.145,0.0668620689655172,1.0,68,271,259,,,,,,,4.4640768993076566e-05,,dqn,0.0,0,DQN
59000,0.111,0.0676101694915254,1.0,68,271,259,,,,,,,4.555122749059137e-05,,dqn,0.0,0,DQN
60000,0.037,0.0671,1.0,68,271,259,,,,,,,4.612447091449212e-05,,dqn,0.0,0,DQN
61000,0.014,0.0662295081967213,1.0,68,271,259,,,,,,,5.406218763687321e-05,,dqn,0.0,0,DQN
62000,0.039,0.0657903225806451,1.0,68,271,259,,,,,,,4.503450957156474e-05,,dqn,0.0,0,DQN
63000,0.068,0.0658253968253968,1.0,68,271,259,,,,,,,5.707026291543116e-05,,dqn,0.0,0,DQN
64000,0.081,0.0660625,1.0,68,271,259,,,,,,,5.644848986185025e-05,,dqn,0.0,0,DQN
65000,0.022,0.0653846153846153,1.0,68,271,259,,,,,,,6.507943510132463e-05,,dqn,0.0,0,DQN
66000,0.005,0.0644696969696969,1.0,68,271,259,,,,,,,5.840613658642724e-05,,dqn,0.0,0,DQN
67000,0.02,0.0638059701492537,1.0,68,271,259,,,,,,,4.794711978956911e-05,,dqn,0.0,0,DQN
68000,0.445,0.0694117647058823,1.0,68,271,259,,,,,,,3.783754424239305e-05,,dqn,0.0,0,DQN
69000,0.028,0.0688115942028985,1.0,68,271,259,,,,,,,4.944789197759292e-05,,dqn,0.0,0,DQN
70000,0.012,0.068,1.0,68,271,259,,,,,,,5.937848041230609e-05,,dqn,0.0,0,DQN
71000,0.038,0.0675774647887323,1.0,68,271,259,,,,,,,5.9403746020507245e-05,,dqn,0.0,0,DQN
72000,0.02,0.0669166666666666,1.0,68,271,259,,,,,,,7.877253883475532e-05,,dqn,0.0,0,DQN
73000,0.01,0.0661369863013698,1.0,68,271,259,,,,,,,8.019582571591855e-05,,dqn,0.0,0,DQN
74000,0.026,0.0655945945945945,1.0,68,271,259,,,,,,,0.0001023422763746,,dqn,0.0,0,DQN
75000,0.252,0.06808,1.0,68,271,259,,,,,,,9.764184553228004e-05,,dqn,0.0,0,DQN
76000,0.181,0.0695657894736842,1.0,68,271,259,,,,,,,0.0001087590816873,,dqn,0.0,0,DQN
77000,0.405,0.0739220779220779,1.0,68,271,259,,,,,,,0.0001082707538176,,dqn,0.0,0,DQN
78000,0.392,0.078,1.0,68,271,259,,,,,,,0.0001183183004463,,dqn,0.0,0,DQN
79000,0.646,0.0851898734177215,1.0,68,271,259,,,,,,,0.0001622323353608,,dqn,0.0,0,DQN
80000,0.041,0.0846375,1.0,68,271,259,,,,,,,0.0001522166844392,,dqn,0.0,0,DQN
81000,0.042,0.0841111111111111,1.0,68,271,259,,,,,,,0.0001977546117345,,dqn,0.0,0,DQN
82000,0.14,0.0847926829268292,1.0,68,271,259,,,,,,,0.0001857455592166,,dqn,0.0,0,DQN
83000,0.125,0.0852771084337349,1.0,68,271,259,,,,,,,0.000171767325306,,dqn,0.0,0,DQN
84000,0.1,0.0854523809523809,1.0,68,271,259,,,,,,,0.0001717460678287,,dqn,0.0,0,DQN
85000,0.034,0.0848470588235294,1.0,68,271,259,,,,,,,0.0002294270144411,,dqn,0.0,0,DQN
86000,0.046,0.0843953488372093,1.0,68,271,259,,,,,,,0.0002356285127862,,dqn,0.0,0,DQN
87000,0.051,0.0840114942528735,1.0,68,271,259,,,,,,,0.0002447412909587,,dqn,0.0,0,DQN
88000,0.042,0.0835340909090909,1.0,68,271,259,,,,,,,0.0001936616582174,,dqn,0.0,0,DQN
89000,0.038,0.0830224719101123,1.0,68,271,259,,,,,,,0.0001950902586636,,dqn,0.0,0,DQN
90000,0.144,0.0837,1.0,68,271,259,,,,,,,0.0001811230643602,,dqn,0.0,0,DQN
91000,0.128,0.0841868131868131,1.0,68,271,259,,,,,,,0.0001891517686822,,dqn,0.0,0,DQN
92000,0.049,0.0838043478260869,1.0,68,271,259,,,,,,,0.0002517519457878,,dqn,0.0,0,DQN
93000,0.126,0.084258064516129,1.0,68,271,259,,,,,,,0.0001702990276128,,dqn,0.0,0,DQN
94000,0.126,0.0847021276595744,1.0,68,271,259,,,,,,,0.0002041660691038,,dqn,0.0,0,DQN
95000,0.066,0.0845052631578947,1.0,68,271,259,,,,,,,0.0002479725764087,,dqn,0.0,0,DQN
96000,0.123,0.08490625,1.0,68,271,259,,,,,,,0.0002384524195688,,dqn,0.0,0,DQN
97000,0.087,0.0849278350515463,1.0,68,271,259,,,,,,,0.0002206667435357,,dqn,0.0,0,DQN
98000,0.115,0.085234693877551,1.0,68,271,259,,,,,,,0.0001961369055777,,dqn,0.0,0,DQN
99000,0.036,0.0847373737373737,1.0,68,271,259,,,,,,,0.0002201221194886,,dqn,0.0,0,DQN
100000,0.06,0.08449,1.0,68,271,259,,,,,,,0.0002273444927843,,dqn,0.0,0,DQN
1000,0.16,0.16,0.7352941176470589,50,171,166,,,,,,,0.0083951074630022,,dqn,0.0,1,DQN
2000,0.137,0.1485,0.8382352941176471,57,200,192,,,,,,,0.0020143715640006,,dqn,0.0,1,DQN
3000,0.135,0.144,0.9264705882352942,63,233,225,,,,,,,6.851848171208985e-05,,dqn,0.0,1,DQN
4000,0.198,0.1575,0.9264705882352942,63,234,226,,,,,,,1.1569046715976582e-05,,dqn,0.0,1,DQN
5000,0.1,0.146,0.9411764705882352,64,245,235,,,,,,,6.143011318499703e-06,,dqn,0.0,1,DQN
6000,0.186,0.1526666666666666,0.9411764705882352,64,247,237,,,,,,,3.506811638885665e-06,,dqn,0.0,1,DQN
7000,0.215,0.1615714285714285,0.9411764705882352,64,247,237,,,,,,,2.033097466977552e-06,,dqn,0.0,1,DQN
8000,0.105,0.1545,0.9852941176470588,67,264,252,,,,,,,1.8690594505414992e-06,,dqn,0.0,1,DQN
9000,0.179,0.1572222222222222,1.0,68,265,253,,,,,,,1.0144772719371531e-05,,dqn,0.0,1,DQN
