step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction,method,beta,seed,label
0,0.0,0.0,200.0,1.0,dqn,0.0,0,DQN
10000,0.0,0.0,200.0,0.005,dqn,0.0,0,DQN
20000,0.0,0.0,200.0,0.005,dqn,0.0,0,DQN
30000,0.0,0.0,200.0,0.01,dqn,0.0,0,DQN
40000,0.0,0.0,200.0,1.0,dqn,0.0,0,DQN
50000,0.0,0.0,200.0,1.0,dqn,0.0,0,DQN
60000,0.0,0.0,200.0,0.01,dqn,0.0,0,DQN
70000,0.0,0.0,200.0,0.01,dqn,0.0,0,DQN
80000,0.0,0.0,200.0,0.02,dqn,0.0,0,DQN
90000,0.9325,1.0,15.0,0.1333333333333333,dqn,0.0,0,DQN
100000,0.0,0.0,200.0,0.01,dqn,0.0,0,DQN
0,0.0,0.0,200.0,1.0,dqn,0.0,1,DQN
10000,0.0,0.0,200.0,1.0,dqn,0.0,1,DQN
20000,0.0,0.0,200.0,0.005,dqn,0.0,1,DQN
30000,0.0,0.0,200.0,0.005,dqn,0.0,1,DQN
40000,0.0,0.0,200.0,1.0,dqn,0.0,1,DQN
50000,0.0,0.0,200.0,0.01,dqn,0.0,1,DQN
60000,0.0,0.0,200.0,0.005,dqn,0.0,1,DQN
70000,0.0,0.0,200.0,1.0,dqn,0.0,1,DQN
80000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,1,DQN
90000,0.0,0.0,200.0,1.0,dqn,0.0,1,DQN
100000,0.0,0.0,200.0,0.02,dqn,0.0,1,DQN
0,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
10000,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
20000,0.0,0.0,200.0,0.01,dqn,0.0,2,DQN
30000,0.0,0.0,200.0,1.0,dqn,0.0,2,DQN
40000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,2,DQN
50000,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
60000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,2,DQN
70000,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
80000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,2,DQN
90000,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
100000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,2,DQN
0,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
10000,0.9280000000000002,1.0,16.0,0.0625,dqn,0.0,3,DQN
20000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,3,DQN
30000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,3,DQN
40000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,3,DQN
50000,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
60000,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
70000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,3,DQN
80000,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
90000,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
100000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,3,DQN
0,0.0,0.0,200.0,0.005,dqn,0.0,4,DQN
10000,0.0,0.0,200.0,1.0,dqn,0.0,4,DQN
20000,0.0,0.0,200.0,1.0,dqn,0.0,4,DQN
30000,0.0,0.0,200.0,0.005,dqn,0.0,4,DQN
40000,0.0,0.0,200.0,0.005,dqn,0.0,4,DQN
50000,0.0,0.0,200.0,1.0,dqn,0.0,4,DQN
60000,0.0,0.0,200.0,0.005,dqn,0.0,4,DQN
70000,0.0,0.0,200.0,0.005,dqn,0.0,4,DQN
80000,0.0,0.0,200.0,0.005,dqn,0.0,4,DQN
90000,0.0,0.0,200.0,0.005,dqn,0.0,4,DQN
100000,0.0,0.0,200.0,1.0,dqn,0.0,4,DQN
0,0.0,0.0,200.0,1.0,lp_rnd,0.01,0,LP-RND (beta=0.01)
10000,0.0,0.0,200.0,0.01,lp_rnd,0.01,0,LP-RND (beta=0.01)
20000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,0,LP-RND (beta=0.01)
30000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,0,LP-RND (beta=0.01)
40000,0.0,0.0,200.0,0.005,lp_rnd,0.01,0,LP-RND (beta=0.01)
50000,0.9280000000000002,1.0,16.0,0.0625,lp_rnd,0.01,0,LP-RND (beta=0.01)
60000,0.0,0.0,200.0,0.005,lp_rnd,0.01,0,LP-RND (beta=0.01)
70000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,0,LP-RND (beta=0.01)
80000,0.0,0.0,200.0,1.0,lp_rnd,0.01,0,LP-RND (beta=0.01)
90000,0.0,0.0,200.0,0.005,lp_rnd,0.01,0,LP-RND (beta=0.01)
100000,0.0,0.0,200.0,0.005,lp_rnd,0.01,0,LP-RND (beta=0.01)
0,0.0,0.0,200.0,1.0,lp_rnd,0.01,1,LP-RND (beta=0.01)
10000,0.0,0.0,200.0,0.015,lp_rnd,0.01,1,LP-RND (beta=0.01)
20000,0.0,0.0,200.0,1.0,lp_rnd,0.01,1,LP-RND (beta=0.01)
30000,0.0,0.0,200.0,0.005,lp_rnd,0.01,1,LP-RND (beta=0.01)
40000,0.0,0.0,200.0,0.005,lp_rnd,0.01,1,LP-RND (beta=0.01)
50000,0.0,0.0,200.0,0.005,lp_rnd,0.01,1,LP-RND (beta=0.01)
60000,0.0,0.0,200.0,0.005,lp_rnd,0.01,1,LP-RND (beta=0.01)
70000,0.0,0.0,200.0,0.005,lp_rnd,0.01,1,LP-RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,lp_rnd,0.01,1,LP-RND (beta=0.01)
90000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,1,LP-RND (beta=0.01)
100000,0.0,0.0,200.0,0.005,lp_rnd,0.01,1,LP-RND (beta=0.01)
0,0.0,0.0,200.0,0.005,lp_rnd,0.01,2,LP-RND (beta=0.01)
10000,0.0,0.0,200.0,0.01,lp_rnd,0.01,2,LP-RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,lp_rnd,0.01,2,LP-RND (beta=0.01)
30000,0.0,0.0,200.0,0.005,lp_rnd,0.01,2,LP-RND (beta=0.01)
40000,0.0,0.0,200.0,0.005,lp_rnd,0.01,2,LP-RND (beta=0.01)
50000,0.0,0.0,200.0,1.0,lp_rnd,0.01,2,LP-RND (beta=0.01)
60000,0.0,0.0,200.0,1.0,lp_rnd,0.01,2,LP-RND (beta=0.01)
70000,0.9280000000000002,1.0,16.0,0.0625,lp_rnd,0.01,2,LP-RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,lp_rnd,0.01,2,LP-RND (beta=0.01)
90000,0.9280000000000002,1.0,16.0,0.0625,lp_rnd,0.01,2,LP-RND (beta=0.01)
100000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,2,LP-RND (beta=0.01)
0,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
10000,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
30000,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
40000,0.0,0.0,200.0,0.01,lp_rnd,0.01,3,LP-RND (beta=0.01)
50000,0.0,0.0,200.0,0.01,lp_rnd,0.01,3,LP-RND (beta=0.01)
60000,0.0,0.0,200.0,1.0,lp_rnd,0.01,3,LP-RND (beta=0.01)
70000,0.0,0.0,200.0,1.0,lp_rnd,0.01,3,LP-RND (beta=0.01)
80000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,3,LP-RND (beta=0.01)
90000,0.0,0.0,200.0,0.005,lp_rnd,0.01,3,LP-RND (beta=0.01)
100000,0.0,0.0,200.0,0.01,lp_rnd,0.01,3,LP-RND (beta=0.01)
0,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
10000,0.0,0.0,200.0,0.015,lp_rnd,0.01,4,LP-RND (beta=0.01)
20000,0.0,0.0,200.0,0.01,lp_rnd,0.01,4,LP-RND (beta=0.01)
30000,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
40000,0.0,0.0,200.0,0.035,lp_rnd,0.01,4,LP-RND (beta=0.01)
50000,0.937,1.0,14.0,0.0714285714285714,lp_rnd,0.01,4,LP-RND (beta=0.01)
60000,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
70000,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,lp_rnd,0.01,4,LP-RND (beta=0.01)
90000,0.0,0.0,200.0,0.01,lp_rnd,0.01,4,LP-RND (beta=0.01)
100000,0.0,0.0,200.0,0.01,lp_rnd,0.01,4,LP-RND (beta=0.01)
0,0.0,0.0,200.0,1.0,rnd,0.01,0,RND (beta=0.01)
10000,0.0,0.0,200.0,1.0,rnd,0.01,0,RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,rnd,0.01,0,RND (beta=0.01)
30000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
40000,0.0,0.0,200.0,1.0,rnd,0.01,0,RND (beta=0.01)
50000,0.0,0.0,200.0,0.005,rnd,0.01,0,RND (beta=0.01)
60000,0.0,0.0,200.0,0.005,rnd,0.01,0,RND (beta=0.01)
70000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
80000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,0,RND (beta=0.01)
90000,0.0,0.0,200.0,0.005,rnd,0.01,0,RND (beta=0.01)
100000,0.0,0.0,200.0,0.005,rnd,0.01,0,RND (beta=0.01)
0,0.0,0.0,200.0,1.0,rnd,0.01,1,RND (beta=0.01)
10000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
30000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,1,RND (beta=0.01)
40000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
50000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
60000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
70000,0.0,0.0,200.0,1.0,rnd,0.01,1,RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
90000,0.0,0.0,200.0,1.0,rnd,0.01,1,RND (beta=0.01)
100000,0.0,0.0,200.0,0.005,rnd,0.01,1,RND (beta=0.01)
0,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
10000,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
20000,0.0,0.0,200.0,1.0,rnd,0.01,2,RND (beta=0.01)
30000,0.9280000000000002,1.0,16.0,0.0625,rnd,0.01,2,RND (beta=0.01)
40000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,2,RND (beta=0.01)
50000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,2,RND (beta=0.01)
60000,0.0,0.0,200.0,0.005,rnd,0.01,2,RND (beta=0.01)
70000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,2,RND (beta=0.01)
80000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,2,RND (beta=0.01)
90000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,2,RND (beta=0.01)
100000,0.9280000000000002,1.0,16.0,0.0625,rnd,0.01,2,RND (beta=0.01)
0,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
10000,0.0,0.0,200.0,1.0,rnd,0.01,3,RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
30000,0.0,0.0,200.0,0.01,rnd,0.01,3,RND (beta=0.01)
40000,0.0,0.0,200.0,0.01,rnd,0.01,3,RND (beta=0.01)
50000,0.0,0.0,200.0,0.01,rnd,0.01,3,RND (beta=0.01)
60000,0.0,0.0,200.0,0.015,rnd,0.01,3,RND (beta=0.01)
70000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,3,RND (beta=0.01)
80000,0.0,0.0,200.0,0.005,rnd,0.01,3,RND (beta=0.01)
90000,0.0,0.0,200.0,0.01,rnd,0.01,3,RND (beta=0.01)
100000,0.0,0.0,200.0,1.0,rnd,0.01,3,RND (beta=0.01)
0,0.0,0.0,200.0,0.005,rnd,0.01,4,RND (beta=0.01)
10000,0.0,0.0,200.0,0.985,rnd,0.01,4,RND (beta=0.01)
20000,0.0,0.0,200.0,0.005,rnd,0.01,4,RND (beta=0.01)
30000,0.0,0.0,200.0,0.01,rnd,0.01,4,RND (beta=0.01)
40000,0.0,0.0,200.0,0.005,rnd,0.01,4,RND (beta=0.01)
50000,0.0,0.0,200.0,0.01,rnd,0.01,4,RND (beta=0.01)
60000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,4,RND (beta=0.01)
70000,0.0,0.0,200.0,0.005,rnd,0.01,4,RND (beta=0.01)
80000,0.0,0.0,200.0,1.0,rnd,0.01,4,RND (beta=0.01)
90000,0.0,0.0,200.0,0.005,rnd,0.01,4,RND (beta=0.01)
100000,0.937,1.0,14.0,0.0714285714285714,rnd,0.01,4,RND (beta=0.01)
