label,method,beta,seed,final_eval_success_rate,best_eval_success_rate,success_rate_auc,final_eval_extrinsic_return,first_reward_step,third_reward_step,training_tv_fraction,position_coverage,tail_intrinsic_inside,tail_intrinsic_outside,tail_inside_outside_ratio,elapsed_seconds
DQN,dqn,0.0,0,0.0,1.0,0.1,0.0,2137,7344,0.08449,1.0,,,,133.4355390300043
DQN,dqn,0.0,1,0.0,1.0,0.1,0.0,8118,10389,0.09378,1.0,,,,135.87814510287717
DQN,dqn,0.0,2,1.0,1.0,0.35,0.937,2384,8651,0.10707,1.0,,,,128.89729974092916
DQN,dqn,0.0,3,1.0,1.0,0.55,0.937,900,5384,0.07577,1.0,,,,127.19208629010245
DQN,dqn,0.0,4,0.0,0.0,0.0,0.0,8483,12576,0.08938,1.0,,,,136.11138806981035
LP-RND (beta=0.01),lp_rnd,0.01,0,0.0,1.0,0.4,0.0,1909,6196,0.10041,1.0,7.77628378259617e-06,8.551449541391342e-06,0.9093527062232948,235.1986909690313
LP-RND (beta=0.01),lp_rnd,0.01,1,0.0,1.0,0.1,0.0,3991,7049,0.08207,1.0,4.157105776116699e-06,4.5273353923367815e-06,0.9182235058514213,236.9558537749108
LP-RND (beta=0.01),lp_rnd,0.01,2,1.0,1.0,0.25,0.937,2189,9013,0.09105,1.0,5.674742313298353e-06,8.235881957750297e-06,0.6890266692030708,237.9535171231255
LP-RND (beta=0.01),lp_rnd,0.01,3,0.0,1.0,0.1,0.0,900,6727,0.09863,1.0,1.02073591390689e-05,1.657228613400582e-05,0.6159294533373831,233.9802217760589
LP-RND (beta=0.01),lp_rnd,0.01,4,0.0,1.0,0.1,0.0,5169,32826,0.11222,1.0,1.0357074907664853e-05,1.5487794840024835e-05,0.6687249550142056,236.57260116096586
RND (beta=0.01),rnd,0.01,0,0.0,1.0,0.3,0.0,3132,13995,0.0931,1.0,1.3654522542308872e-05,1.6645222881745612e-05,0.8203268072356925,238.05879610707052
RND (beta=0.01),rnd,0.01,1,0.0,1.0,0.1,0.0,3141,7847,0.08009,1.0,1.2004675065643592e-05,1.6399188762199742e-05,0.7320285923724752,232.98688831110485
RND (beta=0.01),rnd,0.01,2,1.0,1.0,0.65,0.9280000000000002,6557,9555,0.09648,1.0,1.4839562165833558e-05,1.4833661978806335e-05,1.00039775660492,222.14934056601487
RND (beta=0.01),rnd,0.01,3,0.0,1.0,0.1,0.0,900,5987,0.07392,1.0,2.7110998075563517e-05,8.865991329326631e-05,0.3057864266783869,225.0681469279807
RND (beta=0.01),rnd,0.01,4,1.0,1.0,0.15,0.937,6555,15924,0.09867,1.0,2.5742085221417273e-05,2.862870564544319e-05,0.8991704179792223,227.53559646615759
