step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.187,0.187,0.4411764705882353,30,100,99,nan,nan,nan,nan,nan,nan,0.0024639833718538284,nan
2000,0.149,0.168,0.5147058823529411,35,130,128,nan,nan,nan,nan,nan,nan,0.000847928513714578,nan
3000,0.08,0.13866666666666666,0.8382352941176471,57,215,207,nan,nan,nan,nan,nan,nan,0.00010105058772205667,nan
4000,0.192,0.152,0.8382352941176471,57,215,207,nan,nan,nan,nan,nan,nan,4.5570170582323046e-05,nan
5000,0.151,0.1518,0.8823529411764706,60,230,222,nan,nan,nan,nan,nan,nan,2.2469898349754657e-05,nan
6000,0.147,0.151,0.8823529411764706,60,231,223,nan,nan,nan,nan,nan,nan,1.6767012997888743e-05,nan
7000,0.097,0.1432857142857143,0.8823529411764706,60,231,223,nan,nan,nan,nan,nan,nan,1.84758710040569e-05,nan
8000,0.112,0.139375,0.8823529411764706,60,232,224,nan,nan,nan,nan,nan,nan,3.882196087965895e-05,nan
9000,0.128,0.1381111111111111,0.8823529411764706,60,232,224,nan,nan,nan,nan,nan,nan,3.3004513429204965e-05,nan
10000,0.114,0.1357,0.8823529411764706,60,232,224,nan,nan,nan,nan,nan,nan,2.866608789577185e-05,nan
11000,0.078,0.13045454545454546,0.8823529411764706,60,232,224,nan,nan,nan,nan,nan,nan,2.51900442766555e-05,nan
12000,0.083,0.1265,0.9411764705882353,64,243,233,nan,nan,nan,nan,nan,nan,4.1704298148943054e-05,nan
13000,0.111,0.12530769230769231,0.9411764705882353,64,243,233,nan,nan,nan,nan,nan,nan,7.2897365724657e-05,nan
14000,0.085,0.12242857142857143,0.9411764705882353,64,243,233,nan,nan,nan,nan,nan,nan,8.567776618019707e-05,nan
15000,0.072,0.11906666666666667,0.9558823529411765,65,250,239,nan,nan,nan,nan,nan,nan,0.00010641055426731327,nan
16000,0.091,0.1173125,0.9705882352941176,66,254,243,nan,nan,nan,nan,nan,nan,0.0001578334447058296,nan
17000,0.027,0.112,0.9852941176470589,67,259,248,nan,nan,nan,nan,nan,nan,0.00018953412975497485,nan
