episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,0.0,0,0.205
1,400,200,0.0,0.0,0,0.145
2,600,200,0.0,0.0,0,0.26
3,800,200,0.0,0.0,0,0.04
4,1000,200,0.0,0.0,0,0.025
5,1200,200,0.0,0.0,0,0.085
6,1400,200,0.0,0.0,0,0.085
7,1600,200,0.0,0.0,0,0.145
8,1800,200,0.0,0.0,0,0.105
9,2000,200,0.0,0.0,0,0.205
10,2200,200,0.0,0.0,0,0.23
11,2384,184,0.17199999999999993,0.17199999999999993,1,0.05434782608695652
12,2584,200,0.0,0.0,0,0.1
13,2725,141,0.36550000000000005,0.36550000000000005,1,0.04964539007092199
14,2925,200,0.0,0.0,0,0.065
15,3125,200,0.0,0.0,0,0.295
16,3325,200,0.0,0.0,0,0.165
17,3525,200,0.0,0.0,0,0.015
18,3725,200,0.0,0.0,0,0.19
19,3925,200,0.0,0.0,0,0.03
20,4125,200,0.0,0.0,0,0.16
21,4325,200,0.0,0.0,0,0.23
22,4525,200,0.0,0.0,0,0.085
23,4725,200,0.0,0.0,0,0.13
24,4925,200,0.0,0.0,0,0.185
25,5125,200,0.0,0.0,0,0.33
26,5325,200,0.0,0.0,0,0.025
27,5525,200,0.0,0.0,0,0.105
28,5725,200,0.0,0.0,0,0.34
29,5925,200,0.0,0.0,0,0.06
30,6125,200,0.0,0.0,0,0.085
31,6325,200,0.0,0.0,0,0.16
32,6525,200,0.0,0.0,0,0.125
33,6725,200,0.0,0.0,0,0.305
34,6925,200,0.0,0.0,0,0.095
35,7125,200,0.0,0.0,0,0.21
36,7325,200,0.0,0.0,0,0.325
37,7525,200,0.0,0.0,0,0.255
38,7725,200,0.0,0.0,0,0.135
39,7925,200,0.0,0.0,0,0.245
40,8125,200,0.0,0.0,0,0.16
41,8325,200,0.0,0.0,0,0.21
42,8525,200,0.0,0.0,0,0.37
43,8651,126,0.43299999999999994,0.43299999999999994,1,0.21428571428571427
44,8851,200,0.0,0.0,0,0.23
45,8991,140,0.37,0.37,1,0.04285714285714286
46,9191,200,0.0,0.0,0,0.17
