step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.135,0.135,0.7352941176470589,50,169,162,0.007444716855469677,0.007454263468978205,0.0,0.0,0.0,0.0,0.0013807218056172132,0.0074874465353786945
2000,0.119,0.127,0.8676470588235294,59,206,198,0.0007323521787242987,0.00036503743451618315,0.006591517216048571,0.006971070860860347,2.4753956509211457,2.6458051166673973,0.0002289468219387345,0.00038919547060140756
3000,0.137,0.13033333333333333,0.8823529411764706,60,217,209,3.58822730892832e-05,4.228677337341904e-05,2.594878432100017e-05,1.8826169850145327e-05,0.007538120839989639,0.005456059205526242,0.0004241490450367564,3.281599365072907e-05
4000,0.13,0.13025,0.8823529411764706,60,222,214,1.124628734907254e-05,1.6385606377768672e-05,7.041150664778028e-06,5.576189362952506e-06,0.0022415763368396247,0.0017690205880154762,0.0001634731064477819,1.4933472087705014e-05
5000,0.083,0.1208,0.9117647058823529,62,231,223,5.636591177483434e-06,2.2518417381744062e-05,1.743975470831119e-06,3.7747494869430126e-06,0.000600215944487364,0.0013071157824402955,0.00010168765048365457,8.78163976722135e-06
6000,0.103,0.11783333333333333,0.9117647058823529,62,232,224,3.0453059919645703e-06,7.303614357106746e-06,7.232407155755124e-07,1.7006064206030013e-06,0.0002693943154770408,0.0006295862422230851,8.055021710606524e-05,6.934488893421076e-06
7000,0.078,0.11214285714285714,0.9117647058823529,62,236,228,1.7583877609129745e-06,8.650601389621179e-06,4.2337629516180476e-07,1.345005230098861e-06,0.00016805525670763355,0.0005352348047086584,7.737340455787489e-05,5.052008993743584e-06
8000,0.116,0.112625,0.9705882352941176,66,251,242,1.5071279639461613e-06,9.305098966744478e-06,1.7800348487149864e-07,7.694158547975674e-07,7.47825089052856e-05,0.0003199131869357996,8.795501566964959e-05,4.022789176474362e-06
9000,0.122,0.11366666666666667,0.9705882352941176,66,251,242,1.1023962545151767e-06,4.207605376652563e-06,2.0205439338429852e-07,1.1426563440316832e-06,8.88298046356923e-05,0.0005093501705082776,9.085933805727109e-05,3.024714428761399e-06
10000,0.128,0.1151,0.9705882352941176,66,252,243,7.681549170079904e-07,4.023910692586879e-06,1.3533189191505812e-07,6.759827446995136e-07,6.242364098864475e-05,0.00031503889865527467,6.857277186099964e-05,2.3983951026593787e-06
11000,0.1,0.11372727272727273,1.0,68,265,253,5.397212736113488e-07,1.107545910039044e-05,1.7474523261284958e-07,1.26713838416966e-06,8.42831751400066e-05,0.0006192462600493727,8.966246471027262e-05,2.0236196220366763e-06
12000,0.114,0.11375,1.0,68,267,255,4.986332156844136e-07,1.993768416971997e-06,8.187722462600121e-08,2.01489215456231e-07,4.1310159444795673e-05,0.0001022169932342266,7.150186777653289e-05,1.9474610483030118e-06
13000,0.155,0.11692307692307692,1.0,68,269,257,3.7309270037293306e-07,3.1486124843361846e-06,7.000093706122448e-08,2.9543245593699606e-07,3.682554997668198e-05,0.00015479103515653268,7.246595979449921e-05,1.5352787500546583e-06
14000,0.107,0.11621428571428571,1.0,68,270,258,3.556821077998002e-07,3.7447011372163467e-06,7.45215004637481e-08,5.072423547380899e-07,4.045898203658916e-05,0.00027584186458519947,7.266244270795141e-05,1.3674258443643338e-06
15000,0.226,0.12353333333333333,1.0,68,270,258,2.9452692584513453e-07,8.424177952631083e-07,3.995038277774264e-08,1.0350078194900366e-07,2.2437848014799656e-05,5.812902959555138e-05,8.801824621241394e-05,1.1248509117365302e-06
