step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.156,0.156,0.5147058823529411,35,119,118,0.005405608955651331,0.004979502164176114,0.005405608955651331,0.004979502164176114,4.919378150486014,4.754713693886326,0.008230488747358322,0.005059316288679838
2000,0.212,0.184,0.5588235294117647,38,137,134,0.00029212518228512565,0.00032675776173265764,0.00029212518228512565,0.00032675776173265764,0.25962652882796083,0.31299366150505503,0.0007298309898178559,0.0002942442150852003
3000,0.143,0.17033333333333334,0.5588235294117647,38,139,136,2.0610869653553293e-05,1.832979195836787e-05,2.0610869653553293e-05,1.832979195836787e-05,0.008431490164953417,0.00747563361503329,0.000773698009288637,2.2654803841760442e-05
4000,0.157,0.167,0.5588235294117647,38,139,136,5.406140043462051e-06,4.560025346458983e-06,5.406140043462051e-06,4.560025346458983e-06,0.002374667379222431,0.00198688008500596,0.0003823610139224911,7.727168546352914e-06
5000,0.092,0.152,0.8823529411764706,60,221,213,2.4141844901153133e-06,4.650827973167534e-05,2.4141844901153133e-06,4.650827973167534e-05,0.0011515335619844893,0.021830993568327944,0.0003696365520445397,7.465729652267328e-06
6000,0.069,0.13816666666666666,0.9264705882352942,63,234,225,1.2634389504719234e-06,2.6559300637986156e-05,1.2634389504719234e-06,2.6559300637986156e-05,0.0006401956669281714,0.013491527402041454,0.0002810521077917656,6.8673575233333395e-06
7000,0.058,0.12671428571428572,0.9411764705882353,64,244,235,1.0916233155112736e-06,1.4288089026819131e-05,1.0916233155112736e-06,1.4288089026819131e-05,0.0005936516318573277,0.007829767233037131,0.0002668422158167232,5.518865129715777e-06
8000,0.177,0.133,0.9411764705882353,64,245,236,8.809456558584177e-07,3.567798321899595e-06,8.809456558584177e-07,3.567798321899595e-06,0.0005052833396426435,0.002039151625553707,0.00022207908666314324,4.182620154892902e-06
9000,0.146,0.13444444444444445,0.9705882352941176,66,253,242,6.951503845491298e-07,1.0000864933068172e-05,6.951503845491298e-07,1.0000864933068172e-05,0.00042314188571254105,0.006049648213292965,0.00018960692868495244,3.190460206496937e-06
10000,0.092,0.1302,1.0,68,263,251,5.465337308902215e-07,5.021637771130877e-06,5.465337308902215e-07,5.021637771130877e-06,0.00034594915214023353,0.003237325445775139,0.00017817061941241265,2.44030525539074e-06
11000,0.058,0.12363636363636364,1.0,68,263,251,3.666868154098289e-07,2.9487815030279186e-06,3.666868154098289e-07,2.9487815030279186e-06,0.00024391397430148168,0.001958962348191249,0.0001664703482965706,2.0755632061195683e-06
12000,0.07,0.11916666666666667,1.0,68,264,252,3.2444314582237766e-07,3.366843988103287e-06,3.2444314582237766e-07,3.366843988103287e-06,0.00022415879438404053,0.002328872627040371,0.0001556120457862562,1.6638861865203581e-06
13000,0.18,0.12384615384615384,1.0,68,267,255,3.162866474800315e-07,3.268379275069248e-06,3.162866474800315e-07,3.268379275069248e-06,0.00022766823546833368,0.002340978365874636,0.000157528140285649,1.4207304047317848e-06
14000,0.13,0.12428571428571429,1.0,68,267,255,2.892842041127061e-07,2.488931043564829e-06,2.892842041127061e-07,2.488931043564829e-06,0.00021579362328884186,0.0018494449214628897,0.000179307681730279,1.2495213487113688e-06
15000,0.139,0.12526666666666667,1.0,68,268,256,2.2357666868625895e-07,1.8188210242531564e-06,2.2357666868625895e-07,1.8188210242531564e-06,0.0001722680562365989,0.0013951216441873307,0.000148965744429006,1.0321033762465959e-06
16000,0.087,0.122875,1.0,68,268,256,1.8800279291973498e-07,1.1470498901972955e-06,1.8800279291973498e-07,1.1470498901972955e-06,0.00014798793774940187,0.0009103658794836989,0.0001598190702661668,8.605606543312661e-07
17000,0.067,0.11958823529411765,1.0,68,268,256,1.542236816264259e-07,6.275869924646164e-07,1.542236816264259e-07,6.275869924646164e-07,0.00012561922643380868,0.0005126154652895673,0.00015308671364982728,7.141228185929549e-07
18000,0.079,0.11733333333333333,1.0,68,268,256,2.0995140366045534e-07,9.335609864909256e-07,2.0995140366045534e-07,9.335609864909256e-07,0.0001751991421583069,0.0007839586217348557,0.00015061177491588752,6.164461552202737e-07
19000,0.028,0.11263157894736842,1.0,68,268,256,1.7077359818326192e-07,8.063762776925611e-07,1.7077359818326192e-07,8.063762776925611e-07,0.00014746620379259916,0.0006950681206275652,0.00016848527382535395,5.46897371108912e-07
20000,0.041,0.10905,1.0,68,268,256,1.9315207532045174e-07,6.749127458216981e-07,1.9315207532045174e-07,6.749127458216981e-07,0.000170008814401982,0.0005956962122726349,0.00017247334947205674,4.7202532388723737e-07
