episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,9.09953621344214,0,0.205
1,400,200,0.0,10.000000000000007,0,0.115
2,600,200,0.0,10.000000000000007,0,0.12
3,800,200,0.0,10.000000000000007,0,0.12
4,1000,200,0.0,10.000000000000007,0,0.205
5,1200,200,0.0,2.8264588433918307,0,0.175
6,1400,200,0.0,0.11396549681657869,0,0.22
7,1600,200,0.0,0.12155210133295007,0,0.03
8,1800,200,0.0,0.05616708341812264,0,0.09
9,2000,200,0.0,0.026316983094838643,0,0.13
10,2200,200,0.0,0.026369374442650834,0,0.165
11,2400,200,0.0,0.01620397290015321,0,0.16
12,2600,200,0.0,0.011817007095006833,0,0.15
13,2800,200,0.0,0.016186104020242648,0,0.205
14,3000,200,0.0,0.009521494432885746,0,0.135
15,3200,200,0.0,0.015624350317433994,0,0.165
16,3400,200,0.0,0.035688887900494605,0,0.04
17,3600,200,0.0,0.030693193609412577,0,0.145
18,3800,200,0.0,0.017895290472977846,0,0.095
19,4000,200,0.0,0.003936075727164723,0,0.165
20,4200,200,0.0,0.021235732164576505,0,0.22
21,4400,200,0.0,0.011576037672387003,0,0.205
22,4600,200,0.0,0.0019247107116944489,0,0.075
23,4800,200,0.0,0.001993828784033151,0,0.02
24,5000,200,0.0,0.01760124140209931,0,0.065
25,5200,200,0.0,0.015466188629705174,0,0.005
26,5400,200,0.0,0.0013822881488913617,0,0.1
27,5600,200,0.0,0.056139274026191045,0,0.05
28,5800,200,0.0,0.0061314325770813385,0,0.06
29,6000,200,0.0,0.0011119281864795814,0,0.21
30,6200,200,0.0,0.0011348088301653548,0,0.195
31,6400,200,0.0,0.013909008041153323,0,0.03
32,6555,155,0.3025,0.30917017565339566,1,0.03870967741935484
33,6755,200,0.0,0.00253974475938947,0,0.075
34,6955,200,0.0,0.009353938890475241,0,0.01
35,7155,200,0.0,0.0007814659750081521,0,0.045
36,7355,200,0.0,0.0023839317718963066,0,0.16
37,7555,200,0.0,0.002240815156140187,0,0.27
38,7755,200,0.0,0.007850837415907473,0,0.09
39,7955,200,0.0,0.005815948513947685,0,0.04
40,8155,200,0.0,0.0073673834560674875,0,0.085
41,8344,189,0.14950000000000008,0.19007165126884537,1,0.005291005291005291
42,8544,200,0.0,0.012724263961893476,0,0.12
43,8744,200,0.0,0.00927704181804687,0,0.04
44,8944,200,0.0,0.0007462210519271344,0,0.135
45,9144,200,0.0,0.0018133184285163313,0,0.255
46,9344,200,0.0,0.0006560256590186626,0,0.245
47,9544,200,0.0,0.0009116772330697447,0,0.265
48,9744,200,0.0,0.001079359944633247,0,0.1
49,9944,200,0.0,0.0015839059164485946,0,0.05
50,10144,200,0.0,0.0005391799585381121,0,0.2
51,10344,200,0.0,0.0018517472670301653,0,0.025
52,10544,200,0.0,0.004734338852483369,0,0.065
53,10744,200,0.0,0.008277954682976887,0,0.055
54,10944,200,0.0,0.0016468066056338595,0,0.15
