step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss,method,beta,seed,label
1000,0.187,0.187,0.4411764705882353,30,100,270,,,,,,,0.0024922587908804,,dqn,0.0,0,DQN
2000,0.144,0.1655,0.5,34,127,441,,,,,,,0.0008384783708606,,dqn,0.0,0,DQN
3000,0.064,0.1316666666666666,0.5147058823529411,35,140,515,,,,,,,4.769043654141569e-05,,dqn,0.0,0,DQN
4000,0.134,0.13225,0.7205882352941176,49,186,692,,,,,,,2.109339827484291e-05,,dqn,0.0,0,DQN
5000,0.06,0.1178,0.7794117647058824,53,195,761,,,,,,,1.0715344187019582e-05,,dqn,0.0,0,DQN
6000,0.16,0.1248333333333333,0.7794117647058824,53,195,921,,,,,,,2.3544521865687783e-05,,dqn,0.0,0,DQN
7000,0.112,0.123,0.7941176470588235,54,205,1043,,,,,,,1.175448926341005e-05,,dqn,0.0,0,DQN
8000,0.138,0.124875,0.7941176470588235,54,205,1181,,,,,,,8.501771572923644e-06,,dqn,0.0,0,DQN
9000,0.23,0.1365555555555555,0.7941176470588235,54,205,1411,,,,,,,7.752035956286818e-06,,dqn,0.0,0,DQN
10000,0.161,0.139,0.9558823529411764,65,246,1610,,,,,,,1.5604643779624894e-05,,dqn,0.0,0,DQN
11000,0.193,0.1439090909090909,0.9852941176470588,67,260,1815,,,,,,,1.988316732149542e-05,,dqn,0.0,0,DQN
12000,0.204,0.1489166666666666,0.9852941176470588,67,260,2019,,,,,,,3.3972668004707884e-05,,dqn,0.0,0,DQN
13000,0.184,0.1516153846153846,1.0,68,266,2209,,,,,,,5.523075234850694e-05,,dqn,0.0,0,DQN
14000,0.2,0.1550714285714285,1.0,68,266,2409,,,,,,,6.81251105957017e-05,,dqn,0.0,0,DQN
15000,0.166,0.1558,1.0,68,267,2576,,,,,,,8.722106420646015e-05,,dqn,0.0,0,DQN
16000,0.147,0.15525,1.0,68,269,2725,,,,,,,0.0001365710678946,,dqn,0.0,0,DQN
17000,0.162,0.1556470588235294,1.0,68,271,2889,,,,,,,0.000193804359993,,dqn,0.0,0,DQN
18000,0.138,0.1546666666666666,1.0,68,271,3027,,,,,,,0.0002692196411589,,dqn,0.0,0,DQN
19000,0.084,0.1509473684210526,1.0,68,271,3111,,,,,,,0.0003679057989902,,dqn,0.0,0,DQN
20000,0.032,0.145,1.0,68,271,3143,,,,,,,0.0003814023938466,,dqn,0.0,0,DQN
21000,0.031,0.1395714285714285,1.0,68,271,3174,,,,,,,0.000482418047788,,dqn,0.0,0,DQN
22000,0.054,0.1356818181818181,1.0,68,271,3228,,,,,,,0.0005881630402691,,dqn,0.0,0,DQN
23000,0.042,0.1316086956521739,1.0,68,271,3270,,,,,,,0.0006005062989315,,dqn,0.0,0,DQN
24000,0.045,0.128,1.0,68,271,3315,,,,,,,0.000553127653482,,dqn,0.0,0,DQN
25000,0.097,0.12676,1.0,68,271,3412,,,,,,,0.0005510169295448,,dqn,0.0,0,DQN
26000,0.059,0.1241538461538461,1.0,68,271,3471,,,,,,,0.0004609637806934,,dqn,0.0,0,DQN
27000,0.084,0.1226666666666666,1.0,68,271,3555,,,,,,,0.0004422392833221,,dqn,0.0,0,DQN
28000,0.097,0.12175,1.0,68,271,3652,,,,,,,0.0003319650513512,,dqn,0.0,0,DQN
29000,0.068,0.1198965517241379,1.0,68,271,3720,,,,,,,0.000284935590098,,dqn,0.0,0,DQN
30000,0.103,0.1193333333333333,1.0,68,271,3823,,,,,,,0.0002272224541848,,dqn,0.0,0,DQN
31000,0.068,0.1176774193548387,1.0,68,271,3891,,,,,,,0.0002179536556814,,dqn,0.0,0,DQN
32000,0.068,0.116125,1.0,68,271,3959,,,,,,,0.0002284737911095,,dqn,0.0,0,DQN
33000,0.04,0.1138181818181818,1.0,68,271,3999,,,,,,,0.0002335826135904,,dqn,0.0,0,DQN
34000,0.072,0.1125882352941176,1.0,68,271,4071,,,,,,,0.0002112115788077,,dqn,0.0,0,DQN
35000,0.045,0.1106571428571428,1.0,68,271,4116,,,,,,,0.0002485240904661,,dqn,0.0,0,DQN
36000,0.071,0.1095555555555555,1.0,68,271,4187,,,,,,,0.0002361243463474,,dqn,0.0,0,DQN
37000,0.058,0.1081621621621621,1.0,68,271,4245,,,,,,,0.0002312187744737,,dqn,0.0,0,DQN
38000,0.092,0.1077368421052631,1.0,68,271,4337,,,,,,,0.0002209657400744,,dqn,0.0,0,DQN
39000,0.118,0.108,1.0,68,271,4455,,,,,,,0.000215553699677,,dqn,0.0,0,DQN
40000,0.076,0.1072,1.0,68,271,4531,,,,,,,0.0001918582044363,,dqn,0.0,0,DQN
41000,0.083,0.1066097560975609,1.0,68,271,4614,,,,,,,0.0002162282554627,,dqn,0.0,0,DQN
42000,0.062,0.105547619047619,1.0,68,271,4676,,,,,,,0.0002382424798524,,dqn,0.0,0,DQN
43000,0.098,0.1053720930232558,1.0,68,271,4774,,,,,,,0.00019371918163,,dqn,0.0,0,DQN
44000,0.091,0.1050454545454545,1.0,68,271,4865,,,,,,,0.00020017978967,,dqn,0.0,0,DQN
45000,0.072,0.1043111111111111,1.0,68,271,4937,,,,,,,0.0001869199342158,,dqn,0.0,0,DQN
46000,0.046,0.1030434782608695,1.0,68,271,4983,,,,,,,0.0002103003524612,,dqn,0.0,0,DQN
47000,0.08,0.1025531914893617,1.0,68,271,5063,,,,,,,0.0002146985763738,,dqn,0.0,0,DQN
48000,0.079,0.1020625,1.0,68,271,5142,,,,,,,0.0002189172903435,,dqn,0.0,0,DQN
49000,0.075,0.1015102040816326,1.0,68,271,5217,,,,,,,0.0001897243125076,,dqn,0.0,0,DQN
50000,0.076,0.101,1.0,68,271,5293,,,,,,,0.0001998539603832,,dqn,0.0,0,DQN
51000,0.081,0.1006078431372549,1.0,68,271,5374,,,,,,,0.0001879047406696,,dqn,0.0,0,DQN
52000,0.08,0.1002115384615384,1.0,68,271,5454,,,,,,,0.0002177474347972,,dqn,0.0,0,DQN
53000,0.026,0.0988113207547169,1.0,68,271,5480,,,,,,,0.0002078149450976,,dqn,0.0,0,DQN
54000,0.045,0.0978148148148148,1.0,68,271,5525,,,,,,,0.0002093139219946,,dqn,0.0,0,DQN
55000,0.069,0.0972909090909091,1.0,68,271,5594,,,,,,,0.000228842999787,,dqn,0.0,0,DQN
56000,0.064,0.0966964285714285,1.0,68,271,5658,,,,,,,0.0001807846546471,,dqn,0.0,0,DQN
57000,0.275,0.0998245614035087,1.0,68,271,5933,,,,,,,0.0002237174615365,,dqn,0.0,0,DQN
58000,0.095,0.0997413793103448,1.0,68,271,6028,,,,,,,0.000234004552426,,dqn,0.0,0,DQN
59000,0.008,0.0981864406779661,1.0,68,271,6036,,,,,,,0.0001995921979573,,dqn,0.0,0,DQN
60000,0.006,0.09665,1.0,68,271,6042,,,,,,,0.0002465201646755,,dqn,0.0,0,DQN
61000,0.008,0.0951967213114754,1.0,68,271,6050,,,,,,,0.0002062343379029,,dqn,0.0,0,DQN
62000,0.014,0.0938870967741935,1.0,68,271,6064,,,,,,,0.0002245766598184,,dqn,0.0,0,DQN
63000,0.079,0.0936507936507936,1.0,68,271,6143,,,,,,,0.0002696245828569,,dqn,0.0,0,DQN
64000,0.053,0.093015625,1.0,68,271,6196,,,,,,,0.000225804417158,,dqn,0.0,0,DQN
65000,0.017,0.0918461538461538,1.0,68,271,6213,,,,,,,0.0002575047449909,,dqn,0.0,0,DQN
66000,0.122,0.0923030303030303,1.0,68,271,6335,,,,,,,0.0002208102130171,,dqn,0.0,0,DQN
67000,0.063,0.091865671641791,1.0,68,271,6398,,,,,,,0.000217535896962,,dqn,0.0,0,DQN
68000,0.054,0.0913088235294117,1.0,68,271,6452,,,,,,,0.0002379451285519,,dqn,0.0,0,DQN
69000,0.038,0.0905362318840579,1.0,68,271,6490,,,,,,,0.0002052109110246,,dqn,0.0,0,DQN
