step,mean_extrinsic_return,success_rate,mean_episode_length,tv_fraction,method,beta,seed,label
0,0.0,0.0,200.0,0.9125,dqn,0.0,0,DQN
10000,0.0,0.0,200.0,0.02675,dqn,0.0,0,DQN
20000,0.0,0.0,200.0,0.005,dqn,0.0,0,DQN
30000,0.9361000000000004,1.0,14.2,0.0845070422535211,dqn,0.0,0,DQN
40000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,0,DQN
50000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,0,DQN
60000,0.0,0.0,200.0,0.005,dqn,0.0,0,DQN
70000,0.9280000000000002,1.0,16.0,0.0625,dqn,0.0,0,DQN
80000,0.92665,1.0,16.3,0.0797546012269938,dqn,0.0,0,DQN
90000,0.9280000000000002,1.0,16.0,0.0625,dqn,0.0,0,DQN
100000,0.0,0.0,200.0,0.005,dqn,0.0,0,DQN
0,0.0,0.0,200.0,1.0,dqn,0.0,1,DQN
10000,0.0,0.0,200.0,0.0175,dqn,0.0,1,DQN
20000,0.0,0.0,200.0,0.005,dqn,0.0,1,DQN
30000,0.0,0.0,200.0,0.005,dqn,0.0,1,DQN
40000,0.6090499999999999,0.65,79.1,0.0170670037926675,dqn,0.0,1,DQN
50000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,1,DQN
60000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,1,DQN
70000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,1,DQN
80000,0.0,0.0,200.0,0.34325,dqn,0.0,1,DQN
90000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,1,DQN
100000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,1,DQN
0,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
10000,0.0,0.0,200.0,0.08975,dqn,0.0,2,DQN
20000,0.0,0.0,200.0,0.0125,dqn,0.0,2,DQN
30000,0.0,0.0,200.0,0.00575,dqn,0.0,2,DQN
40000,0.0,0.0,200.0,0.0105,dqn,0.0,2,DQN
50000,0.0,0.0,200.0,0.8005,dqn,0.0,2,DQN
60000,0.0,0.0,200.0,0.00925,dqn,0.0,2,DQN
70000,0.0,0.0,200.0,0.02025,dqn,0.0,2,DQN
80000,0.0,0.0,200.0,0.01,dqn,0.0,2,DQN
90000,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
100000,0.0,0.0,200.0,0.005,dqn,0.0,2,DQN
0,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
10000,0.0,0.0,200.0,0.33325,dqn,0.0,3,DQN
20000,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
30000,0.8816,0.95,25.2,0.0496031746031746,dqn,0.0,3,DQN
40000,0.937,1.0,14.0,0.0714285714285714,dqn,0.0,3,DQN
50000,0.0,0.0,200.0,0.005,dqn,0.0,3,DQN
60000,0.9280000000000002,1.0,16.0,0.0625,dqn,0.0,3,DQN
