label,method,beta,seed,final_eval_success_rate,best_eval_success_rate,success_rate_auc,final_eval_extrinsic_return,first_reward_step,third_reward_step,training_tv_fraction,position_coverage,tail_intrinsic_inside,tail_intrinsic_outside,tail_inside_outside_ratio,elapsed_seconds
DQN,dqn,0.0,0,0.0,1.0,0.6,0.0,4920,9385,0.07914,1.0,,,,125.49309770413674
DQN,dqn,0.0,1,1.0,1.0,0.515,0.937,3141,6092,0.08133,1.0,,,,124.22396887280047
DQN,dqn,0.0,2,0.0,0.0,0.0,0.0,6878,10430,0.06647,1.0,,,,127.64418002497405
DQN,dqn,0.0,3,1.0,1.0,0.645,0.937,900,4806,0.07509,1.0,,,,123.67930879001506
DQN,dqn,0.0,4,1.0,1.0,0.43,0.937,3149,8663,0.09669,1.0,,,,123.67961392411962
LP-RND (beta=0.01),lp_rnd,0.01,0,1.0,1.0,0.25,0.9266500000000001,1782,7354,0.0977,1.0,0.00043960052795363335,2.4292916776581032e-05,18.095831472053575,229.5814600160811
LP-RND (beta=0.01),lp_rnd,0.01,1,1.0,1.0,0.45,0.937,5188,8443,0.10392,1.0,0.0003327516059547714,1.4786424582760699e-05,22.50385846100498,223.5926356969867
LP-RND (beta=0.01),lp_rnd,0.01,2,1.0,1.0,0.45,0.937,6788,8165,0.08266,1.0,0.0003447794595653779,1.8122089117110152e-05,19.025370493286612,228.19662419497035
LP-RND (beta=0.01),lp_rnd,0.01,3,0.0,1.0,0.1,0.0,900,5599,0.14977,1.0,0.0007571338368540808,0.00035369290326227364,2.1406531764439842,223.22757895290852
LP-RND (beta=0.01),lp_rnd,0.01,4,0.0,1.0,0.1,0.0,5172,10237,0.11518,1.0,0.0005326685079745571,3.1091859976941334e-05,17.132088860865842,224.08412860892713
LP-RND (beta=0.05),lp_rnd,0.05,0,0.0,0.0,0.0,0.0,1909,7420,0.24955,1.0,0.0005281682755444477,0.00021815536854395053,2.4210647625572443,222.0721980049275
LP-RND (beta=0.05),lp_rnd,0.05,1,0.0,0.0,0.0,0.0,3991,89396,0.26943,1.0,0.00036750637973888707,0.0008139007757513106,0.4515370800570161,227.73238198179752
LP-RND (beta=0.05),lp_rnd,0.05,2,0.0,0.0,0.0,0.0,4746,11256,0.12015,1.0,0.0005638631805260667,0.00013960702811709503,4.038931192297339,230.80923070199788
LP-RND (beta=0.05),lp_rnd,0.05,3,0.0,0.0,0.0,0.0,900,8319,0.22503,1.0,0.0007415256092303238,0.0002870020794461268,2.583694204102503,225.21266251895577
LP-RND (beta=0.05),lp_rnd,0.05,4,0.0,0.0,0.0,0.0,3571,8513,0.179,0.9852941176470589,0.0005197728281498762,0.00011533194306586443,4.506755148077592,226.4996636689175
LP-RND (beta=0.1),lp_rnd,0.1,0,0.0,0.0,0.0,0.0,7354,62351,0.1538,1.0,0.0005415802522033714,0.00029408523080177437,1.8415758272757974,219.71228486998007
LP-RND (beta=0.1),lp_rnd,0.1,1,0.0,0.0,0.0,0.0,2763,7250,0.15202,1.0,0.00044910278232926067,8.52019976015836e-05,5.271035832156516,224.54160376288928
LP-RND (beta=0.1),lp_rnd,0.1,2,0.0,0.0,0.0,0.0,2302,21884,0.09343,1.0,0.0005619270559540904,7.568609009445697e-05,7.424442922772203,223.28988813399337
LP-RND (beta=0.1),lp_rnd,0.1,3,0.0,0.0,0.0,0.0,900,7978,0.14522,1.0,0.0008462119592807857,0.00035139765668441646,2.408132049784135,220.11366659007035
LP-RND (beta=0.1),lp_rnd,0.1,4,0.0,0.0,0.0,0.0,4118,6842,0.22761,1.0,0.0004892043612010856,0.0005405799912856387,0.9049620205839128,222.45311448094435
RND (beta=0.01),rnd,0.01,0,0.8,1.0,0.54,0.6114499999999999,2137,5815,0.1008,1.0,0.0066760674010609,9.339210738002079e-05,71.4842783651448,218.59008390293457
RND (beta=0.01),rnd,0.01,1,0.0,0.0,0.0,0.0,4374,12307,0.11739,1.0,0.00834698290613012,0.00031229791363493177,26.727629425944638,214.81270600715652
RND (beta=0.01),rnd,0.01,2,1.0,1.0,0.15,0.937,8125,9063,0.09674,1.0,0.008647364055633438,0.00021445067290015905,40.32332442090008,219.33259496488608
RND (beta=0.01),rnd,0.01,3,0.0,1.0,0.2,0.0,900,6537,0.09023,1.0,0.009772823334282327,0.0001382996182673143,70.66413817132013,216.3731754589826
RND (beta=0.01),rnd,0.01,4,0.0,0.0,0.0,0.0,2983,15748,0.12645,1.0,0.011135042250906465,0.0006221989934661428,17.896271719880858,220.03202626807615
RND (beta=0.05),rnd,0.05,0,0.0,0.0,0.0,0.0,1592,8082,0.222,1.0,0.010883588363589644,0.0023124529641942665,4.706512319216767,217.7810025110375
RND (beta=0.05),rnd,0.05,1,0.0,0.0,0.0,0.0,2964,66234,0.11784,1.0,0.010988486891175375,0.0005817048714076619,18.890140741961545,222.6131521658972
RND (beta=0.05),rnd,0.05,2,0.0,0.0,0.0,0.0,7393,9881,0.13814,1.0,0.012871710460267336,0.0006495030785913049,19.817782062226016,216.12172315292992
