run,method,beta,seed,total_steps,output_dir
dqn_seed000,dqn,0.0,0,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/dqn_seed000
dqn_seed001,dqn,0.0,1,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/dqn_seed001
dqn_seed002,dqn,0.0,2,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/dqn_seed002
dqn_seed003,dqn,0.0,3,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/dqn_seed003
dqn_seed004,dqn,0.0,4,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/dqn_seed004
rnd_beta0p01_seed000,rnd,0.01,0,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p01_seed000
rnd_beta0p01_seed001,rnd,0.01,1,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p01_seed001
rnd_beta0p01_seed002,rnd,0.01,2,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p01_seed002
rnd_beta0p01_seed003,rnd,0.01,3,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p01_seed003
rnd_beta0p01_seed004,rnd,0.01,4,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p01_seed004
rnd_beta0p05_seed000,rnd,0.05,0,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p05_seed000
rnd_beta0p05_seed001,rnd,0.05,1,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p05_seed001
rnd_beta0p05_seed002,rnd,0.05,2,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p05_seed002
rnd_beta0p05_seed003,rnd,0.05,3,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p05_seed003
rnd_beta0p05_seed004,rnd,0.05,4,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p05_seed004
rnd_beta0p1_seed000,rnd,0.1,0,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p1_seed000
rnd_beta0p1_seed001,rnd,0.1,1,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p1_seed001
rnd_beta0p1_seed002,rnd,0.1,2,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p1_seed002
rnd_beta0p1_seed003,rnd,0.1,3,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p1_seed003
rnd_beta0p1_seed004,rnd,0.1,4,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/rnd_beta0p1_seed004
lp_rnd_beta0p01_seed000,lp_rnd,0.01,0,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p01_seed000
lp_rnd_beta0p01_seed001,lp_rnd,0.01,1,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p01_seed001
lp_rnd_beta0p01_seed002,lp_rnd,0.01,2,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p01_seed002
lp_rnd_beta0p01_seed003,lp_rnd,0.01,3,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p01_seed003
lp_rnd_beta0p01_seed004,lp_rnd,0.01,4,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p01_seed004
lp_rnd_beta0p05_seed000,lp_rnd,0.05,0,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p05_seed000
lp_rnd_beta0p05_seed001,lp_rnd,0.05,1,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p05_seed001
lp_rnd_beta0p05_seed002,lp_rnd,0.05,2,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p05_seed002
lp_rnd_beta0p05_seed003,lp_rnd,0.05,3,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p05_seed003
lp_rnd_beta0p05_seed004,lp_rnd,0.05,4,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p05_seed004
lp_rnd_beta0p1_seed000,lp_rnd,0.1,0,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p1_seed000
lp_rnd_beta0p1_seed001,lp_rnd,0.1,1,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p1_seed001
lp_rnd_beta0p1_seed002,lp_rnd,0.1,2,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p1_seed002
lp_rnd_beta0p1_seed003,lp_rnd,0.1,3,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p1_seed003
lp_rnd_beta0p1_seed004,lp_rnd,0.1,4,100000,/home/christian/Desktop/RL/RL-exercises/results/main/runs/lp_rnd_beta0p1_seed004
