step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.187,0.187,0.4411764705882353,30,100,270,nan,nan,nan,nan,nan,nan,0.0024922587908804417,nan
2000,0.144,0.1655,0.5,34,127,441,nan,nan,nan,nan,nan,nan,0.0008384783708606846,nan
3000,0.064,0.13166666666666665,0.5147058823529411,35,140,515,nan,nan,nan,nan,nan,nan,4.769043654141569e-05,nan
4000,0.134,0.13225,0.7205882352941176,49,186,692,nan,nan,nan,nan,nan,nan,2.109339827484291e-05,nan
5000,0.06,0.1178,0.7794117647058824,53,195,761,nan,nan,nan,nan,nan,nan,1.0715344187019582e-05,nan
6000,0.16,0.12483333333333334,0.7794117647058824,53,195,921,nan,nan,nan,nan,nan,nan,2.3544521865687783e-05,nan
7000,0.112,0.123,0.7941176470588235,54,205,1043,nan,nan,nan,nan,nan,nan,1.175448926341005e-05,nan
8000,0.138,0.124875,0.7941176470588235,54,205,1181,nan,nan,nan,nan,nan,nan,8.501771572923644e-06,nan
9000,0.23,0.13655555555555557,0.7941176470588235,54,205,1411,nan,nan,nan,nan,nan,nan,7.752035956286818e-06,nan
10000,0.161,0.139,0.9558823529411765,65,246,1610,nan,nan,nan,nan,nan,nan,1.5604643779624894e-05,nan
11000,0.193,0.1439090909090909,0.9852941176470589,67,260,1815,nan,nan,nan,nan,nan,nan,1.988316732149542e-05,nan
12000,0.204,0.14891666666666667,0.9852941176470589,67,260,2019,nan,nan,nan,nan,nan,nan,3.3972668004707884e-05,nan
13000,0.184,0.15161538461538462,1.0,68,266,2209,nan,nan,nan,nan,nan,nan,5.523075234850694e-05,nan
14000,0.2,0.15507142857142858,1.0,68,266,2409,nan,nan,nan,nan,nan,nan,6.81251105957017e-05,nan
15000,0.166,0.1558,1.0,68,267,2576,nan,nan,nan,nan,nan,nan,8.722106420646015e-05,nan
16000,0.147,0.15525,1.0,68,269,2725,nan,nan,nan,nan,nan,nan,0.00013657106789469254,nan
17000,0.162,0.15564705882352942,1.0,68,271,2889,nan,nan,nan,nan,nan,nan,0.00019380435999300972,nan
18000,0.138,0.15466666666666667,1.0,68,271,3027,nan,nan,nan,nan,nan,nan,0.00026921964115899754,nan
19000,0.084,0.15094736842105264,1.0,68,271,3111,nan,nan,nan,nan,nan,nan,0.00036790579899025034,nan
20000,0.032,0.145,1.0,68,271,3143,nan,nan,nan,nan,nan,nan,0.0003814023938466562,nan
21000,0.031,0.13957142857142857,1.0,68,271,3174,nan,nan,nan,nan,nan,nan,0.00048241804778808726,nan
22000,0.054,0.13568181818181818,1.0,68,271,3228,nan,nan,nan,nan,nan,nan,0.0005881630402691371,nan
23000,0.042,0.13160869565217392,1.0,68,271,3270,nan,nan,nan,nan,nan,nan,0.0006005062989315775,nan
24000,0.045,0.128,1.0,68,271,3315,nan,nan,nan,nan,nan,nan,0.000553127653482079,nan
25000,0.097,0.12676,1.0,68,271,3412,nan,nan,nan,nan,nan,nan,0.0005510169295448577,nan
26000,0.059,0.12415384615384616,1.0,68,271,3471,nan,nan,nan,nan,nan,nan,0.0004609637806934188,nan
27000,0.084,0.12266666666666666,1.0,68,271,3555,nan,nan,nan,nan,nan,nan,0.0004422392833221238,nan
28000,0.097,0.12175,1.0,68,271,3652,nan,nan,nan,nan,nan,nan,0.00033196505135128974,nan
29000,0.068,0.11989655172413793,1.0,68,271,3720,nan,nan,nan,nan,nan,nan,0.00028493559009802995,nan
30000,0.103,0.11933333333333333,1.0,68,271,3823,nan,nan,nan,nan,nan,nan,0.0002272224541848118,nan
31000,0.068,0.1176774193548387,1.0,68,271,3891,nan,nan,nan,nan,nan,nan,0.0002179536556814128,nan
