episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,0.0,0,0.015
1,400,200,0.0,0.0,0,0.19
2,600,200,0.0,0.0,0,0.125
3,800,200,0.0,0.0,0,0.32
4,900,100,0.55,0.55,1,0.08
5,1100,200,0.0,0.0,0,0.28
6,1300,200,0.0,0.0,0,0.21
7,1500,200,0.0,0.0,0,0.275
8,1700,200,0.0,0.0,0,0.1
9,1900,200,0.0,0.0,0,0.275
10,2100,200,0.0,0.0,0,0.045
11,2300,200,0.0,0.0,0,0.06
12,2500,200,0.0,0.0,0,0.065
13,2700,200,0.0,0.0,0,0.07
14,2900,200,0.0,0.0,0,0.11
15,3100,200,0.0,0.0,0,0.225
16,3300,200,0.0,0.0,0,0.1
17,3500,200,0.0,0.0,0,0.06
18,3700,200,0.0,0.0,0,0.26
19,3900,200,0.0,0.0,0,0.3
20,4100,200,0.0,0.0,0,0.215
21,4300,200,0.0,0.0,0,0.245
22,4479,179,0.1945,0.1945,1,0.0111731843575419
23,4679,200,0.0,0.0,0,0.065
24,4806,127,0.4285,0.4285,1,0.047244094488188976
25,5006,200,0.0,0.0,0,0.12
26,5206,200,0.0,0.0,0,0.14
27,5406,200,0.0,0.0,0,0.07
28,5606,200,0.0,0.0,0,0.015
29,5806,200,0.0,0.0,0,0.195
30,6006,200,0.0,0.0,0,0.18
31,6206,200,0.0,0.0,0,0.215
32,6406,200,0.0,0.0,0,0.06
33,6606,200,0.0,0.0,0,0.225
34,6806,200,0.0,0.0,0,0.015
35,7006,200,0.0,0.0,0,0.05
36,7206,200,0.0,0.0,0,0.14
37,7406,200,0.0,0.0,0,0.235
38,7606,200,0.0,0.0,0,0.145
39,7756,150,0.32499999999999996,0.32499999999999996,1,0.10666666666666667
40,7956,200,0.0,0.0,0,0.2
41,8156,200,0.0,0.0,0,0.04
42,8356,200,0.0,0.0,0,0.36
43,8422,66,0.703,0.703,1,0.06060606060606061
44,8622,200,0.0,0.0,0,0.32
45,8789,167,0.24850000000000005,0.24850000000000005,1,0.07784431137724551
46,8989,200,0.0,0.0,0,0.05
47,9189,200,0.0,0.0,0,0.05
48,9389,200,0.0,0.0,0,0.035
49,9522,133,0.40149999999999997,0.40149999999999997,1,0.11278195488721804
50,9722,200,0.0,0.0,0,0.06
51,9779,57,0.7435,0.7435,1,0.15789473684210525
52,9979,200,0.0,0.0,0,0.235
53,10179,200,0.0,0.0,0,0.28
54,10278,99,0.5545,0.5545,1,0.010101010101010102
55,10478,200,0.0,0.0,0,0.14
56,10661,183,0.1765,0.1765,1,0.24043715846994534
57,10761,100,0.55,0.55,1,0.01
58,10823,62,0.721,0.721,1,0.14516129032258066
59,11023,200,0.0,0.0,0,0.315
60,11223,200,0.0,0.0,0,0.225
61,11341,118,0.469,0.469,1,0.1271186440677966
62,11541,200,0.0,0.0,0,0.195
63,11646,105,0.5275,0.5275,1,0.0380952380952381
64,11846,200,0.0,0.0,0,0.125
65,12046,200,0.0,0.0,0,0.195
66,12203,157,0.2935,0.2935,1,0.012738853503184714
67,12403,200,0.0,0.0,0,0.25
68,12555,152,0.31599999999999995,0.31599999999999995,1,0.019736842105263157
69,12729,174,0.21699999999999997,0.21699999999999997,1,0.08045977011494253
70,12929,200,0.0,0.0,0,0.1
71,13080,151,0.3205,0.3205,1,0.11920529801324503
72,13280,200,0.0,0.0,0,0.03
73,13480,200,0.0,0.0,0,0.11
74,13587,107,0.5185,0.5185,1,0.3177570093457944
75,13733,146,0.34299999999999997,0.34299999999999997,1,0.0410958904109589
76,13933,200,0.0,0.0,0,0.09
77,14049,116,0.478,0.478,1,0.22413793103448276
78,14229,180,0.18999999999999995,0.18999999999999995,1,0.3055555555555556
79,14371,142,0.361,0.361,1,0.014084507042253521
80,14455,84,0.622,0.622,1,0.25
81,14567,112,0.4959999999999999,0.4959999999999999,1,0.017857142857142856
