step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.156,0.156,0.5147058823529411,35,119,258,0.006090055246694157,0.004979502164176114,0.0,0.0,0.0,0.0,0.0037887359503656626,0.005092698615044355
2000,0.172,0.164,0.6029411764705882,41,156,464,0.0004397979350763963,0.0003358637349867273,0.005573523715463316,0.0047057660398914835,3.199806322170807,2.4309447191981635,0.00237152518396033,0.0003229919900659297
3000,0.222,0.18333333333333332,0.6323529411764706,43,163,693,9.62613133336302e-05,2.615099248888213e-05,3.778038823945387e-05,1.7271469028004746e-05,0.01543296781501108,0.007078218818953939,0.002235391417692881,3.771454239358718e-05
4000,0.173,0.18075,0.8676470588235294,59,213,914,5.3590953450500586e-05,2.6845288353833806e-05,1.3706403152917571e-05,5.522060399609248e-06,0.006176593675029551,0.0024617955448817137,0.0019603265267796816,2.0396940341925074e-05
5000,0.183,0.1812,0.9117647058823529,62,231,1115,4.16178972458103e-05,2.1746203267489983e-05,6.380079727927782e-06,3.979091959697579e-06,0.003112427790701459,0.0019333249335704952,0.001760727297340054,1.45175098305117e-05
6000,0.111,0.1695,0.9411764705882353,64,245,1236,3.392457676602282e-05,1.174040540358521e-05,2.661294274730608e-06,2.3789153316890647e-06,0.0013906785102629016,0.0012568869930905213,0.0015239574623992667,1.1214343647679926e-05
7000,0.168,0.1692857142857143,0.9852941176470589,67,258,1416,2.8314196486332677e-05,1.736028106127727e-05,2.413290644653898e-06,2.658493790339214e-06,0.0013515384804443653,0.0014943390298413867,0.0013449921817227733,9.351869387955958e-06
8000,0.171,0.1695,0.9852941176470589,67,258,1587,2.6305797961724335e-05,3.0093641515551145e-06,1.8877485911760136e-06,5.507579958514289e-07,0.001116801760592253,0.00032925233832946604,0.0012632581232173833,8.092735509535487e-06
9000,0.12,0.164,0.9852941176470589,67,258,1707,2.463147263824794e-05,4.38936603275925e-06,1.0860838453178682e-06,6.003618656113087e-07,0.0006743650254268606,0.00037710566596455724,0.001147446138667874,6.78267869488991e-06
10000,0.197,0.1673,0.9852941176470589,67,258,1904,2.2313025815515522e-05,4.383183322419317e-06,1.1846505326802752e-06,5.830612368376927e-07,0.0007804102311873049,0.00038431399733114823,0.0011163850667362566,5.999647166845534e-06
11000,0.244,0.17427272727272727,0.9852941176470589,67,258,2148,2.0993153835571903e-05,3.300969706874495e-06,1.2066787863271903e-06,3.678249944674503e-07,0.0008297350756098774,0.00025363077692873074,0.001050063555696397,5.429556832268645e-06
12000,0.248,0.18041666666666667,0.9852941176470589,67,258,2396,2.048685704017595e-05,2.8320602567569245e-06,1.0288477758348886e-06,4.48790316436818e-07,0.0007352880442130228,0.00032130969038044507,0.0009409764618176268,5.137728473528113e-06
