episode,end_step,length,extrinsic_return,shaped_return,success,tv_fraction
0,200,200,0.0,45.586297964691376,0,0.205
1,400,200,0.0,50.0,0,0.115
2,600,200,0.0,50.0,0,0.12
3,800,200,0.0,50.0,0,0.12
4,1000,200,0.0,50.0,0,0.21
5,1200,200,0.0,13.845340095962193,0,0.175
6,1400,200,0.0,0.9040026766301701,0,0.13
7,1600,200,0.0,0.42881342181620885,0,0.31
8,1800,200,0.0,0.33465618804982855,0,0.06
9,2000,200,0.0,0.16194147225028102,0,0.09
10,2200,200,0.0,0.18110944985421884,0,0.14
11,2400,200,0.0,0.15512173294080697,0,0.18
12,2600,200,0.0,0.11773829309373912,0,0.225
13,2800,200,0.0,0.07879039681055844,0,0.165
14,3000,200,0.0,0.06086384186245794,0,0.13
15,3200,200,0.0,0.10037853145251838,0,0.185
16,3280,80,0.6399999999999999,0.7848540905009063,1,0.0375
17,3480,200,0.0,0.04704926052099959,0,0.195
18,3680,200,0.0,0.09578217962423762,0,0.06
19,3880,200,0.0,0.06448793303726881,0,0.27
20,4080,200,0.0,0.11173225516968252,0,0.23
21,4280,200,0.0,0.039923990074376345,0,0.18
22,4480,200,0.0,0.04711480464970826,0,0.225
23,4680,200,0.0,0.03060936611279605,0,0.155
24,4880,200,0.0,0.08092135366974322,0,0.04
25,5080,200,0.0,0.14958566541127277,0,0.005
26,5280,200,0.0,0.041877690131545485,0,0.25
27,5480,200,0.0,0.03375946814569121,0,0.225
28,5680,200,0.0,0.08733823302229643,0,0.16
29,5783,103,0.5365,0.5990627020590367,1,0.038834951456310676
30,5983,200,0.0,0.1469202267655321,0,0.145
31,6183,200,0.0,0.13056610966881463,0,0.185
32,6353,170,0.235,0.376710508448876,1,0.13529411764705881
33,6553,200,0.0,0.024274035237554614,0,0.175
34,6753,200,0.0,0.041469155163789746,0,0.195
35,6953,200,0.0,0.037131503901014475,0,0.155
36,7153,200,0.0,0.05296848630492435,0,0.02
37,7353,200,0.0,0.023774286022040687,0,0.19
38,7553,200,0.0,0.02915441598416071,0,0.225
39,7753,200,0.0,0.04336236902649119,0,0.16
40,7953,200,0.0,0.023812078280181632,0,0.145
41,8153,200,0.0,0.08983543036066022,0,0.15
42,8353,200,0.0,0.008645440830677559,0,0.055
43,8553,200,0.0,0.04751706431704385,0,0.205
44,8753,200,0.0,0.022615311083249046,0,0.195
45,8953,200,0.0,0.031703272911747675,0,0.25
46,9153,200,0.0,0.04054427068766174,0,0.01
47,9353,200,0.0,0.02362688381987454,0,0.195
