step,tv_fraction_block,tv_fraction_cumulative,position_coverage,unique_positions,unique_abstract_states,unique_observations,rnd_error_inside,rnd_error_outside,intrinsic_raw_inside,intrinsic_raw_outside,intrinsic_normalized_inside,intrinsic_normalized_outside,mean_q_loss,mean_rnd_loss
1000,0.156,0.156,0.5147058823529411,35,119,258,0.006090055246694157,0.004979502164176114,0.006090055246694157,0.004979502164176114,4.9209684489323875,4.742271962329663,0.15234798192977905,0.005092698615044355
2000,0.172,0.164,0.7352941176470589,50,177,484,0.00043076943214590186,0.00032440251647645,0.00043076943214590186,0.00032440251647645,0.339158554818656,0.2900545437417474,0.026600931653752925,0.00032028019431527355
3000,0.186,0.17133333333333334,0.7647058823529411,52,188,679,9.087920547225162e-05,3.2966577892812185e-05,9.087920547225162e-05,3.2966577892812185e-05,0.03650409070255347,0.013199560178846454,0.0257132460847497,3.7154362647925155e-05
4000,0.156,0.1675,0.7941176470588235,54,196,842,5.210050651909954e-05,1.4726597856623795e-05,5.210050651909954e-05,1.4726597856623795e-05,0.02250487052004272,0.006261234136277504,0.022698321058414878,1.9598370643507223e-05
5000,0.16,0.166,0.8529411764705882,58,220,1025,4.2620834096851465e-05,1.915373565600205e-05,4.2620834096851465e-05,1.915373565600205e-05,0.01956652502115555,0.008946034265015057,0.020308157470077276,1.336701115951655e-05
6000,0.145,0.1625,0.8529411764705882,58,221,1171,3.328558897668825e-05,7.504116105801799e-06,3.328558897668825e-05,7.504116105801799e-06,0.016617590615166114,0.0037182887515646965,0.01810413648467511,1.0558795103406737e-05
7000,0.153,0.16114285714285714,0.8529411764705882,58,223,1326,2.7674583310536808e-05,1.1909525082880787e-05,2.7674583310536808e-05,1.1909525082880787e-05,0.014723312914652419,0.006311307357351104,0.016039219744037835,8.582623055644945e-06
8000,0.214,0.16775,0.8529411764705882,58,223,1540,2.653083861035063e-05,2.662731120166567e-06,2.653083861035063e-05,2.662731120166567e-06,0.014892935493075537,0.0015171948605861203,0.014376249308232218,7.3183204192446286e-06
9000,0.161,0.167,0.9117647058823529,62,235,1713,2.3552851902569718e-05,9.958359393527471e-06,2.3552851902569718e-05,9.958359393527471e-06,0.013981725516734784,0.005818730469429403,0.013344469750765711,6.7138852116386265e-06
10000,0.17,0.1673,0.9264705882352942,63,239,1887,2.2548769282045266e-05,7.950318470094146e-06,2.2548769282045266e-05,7.950318470094146e-06,0.014141373416632382,0.004882785319449446,0.012027169078821317,6.037219898189505e-06
11000,0.14,0.1648181818181818,0.9264705882352942,63,239,2027,2.1308135878176213e-05,4.639879860185823e-06,2.1308135878176213e-05,4.639879860185823e-06,0.013830392033477778,0.0030121626788662086,0.011290474446257576,5.453835597791112e-06
12000,0.173,0.1655,0.9264705882352942,63,240,2201,2.0775583193242427e-05,7.805078166434953e-06,2.0775583193242427e-05,7.805078166434953e-06,0.01410994907429523,0.005292575276453745,0.010405981950927526,5.0206973473905236e-06
13000,0.239,0.17115384615384616,1.0,68,267,2464,2.0537571225032333e-05,2.127297093769305e-05,2.0537571225032333e-05,2.127297093769305e-05,0.014463553685962454,0.01490352658384234,0.009766087213880382,5.329275393705757e-06
14000,0.436,0.19007142857142856,1.0,68,267,2900,1.940762973774343e-05,5.053128993440768e-07,1.940762973774343e-05,5.053128993440768e-07,0.014138385657283413,0.0003676584818004804,0.009639333231025376,5.275954741136957e-06
15000,0.393,0.2036,1.0,68,269,3295,1.7959314267379964e-05,4.6546396642710855e-06,1.7959314267379964e-05,4.6546396642710855e-06,0.013545256083927351,0.0034772865306793846,0.008799081256613136,5.1376245489791475e-06
16000,0.339,0.2120625,1.0,68,269,3634,1.7741780555024084e-05,2.8430638485472037e-06,1.7741780555024084e-05,2.8430638485472037e-06,0.013769365535075443,0.002188982026710548,0.00828734998672735,5.039329000055659e-06
